vtaxid,no human-to-human,limited human-to-human,sustained human-to-human,pred_label
646294,0.0741,0.0289,0.8970,sustained human-to-human
647367,0.0741,0.0289,0.8970,sustained human-to-human
647369,0.0775,0.0359,0.8866,sustained human-to-human
647372,0.1478,0.0351,0.8171,sustained human-to-human
647374,0.0741,0.0289,0.8970,sustained human-to-human
650036,0.6243,0.1879,0.1878,no human-to-human
658667,0.0788,0.0298,0.8913,sustained human-to-human
659265,0.0741,0.0289,0.8970,sustained human-to-human
682383,0.0788,0.0298,0.8913,sustained human-to-human
682384,0.0788,0.0298,0.8913,sustained human-to-human
688450,0.0741,0.0289,0.8970,sustained human-to-human
688451,0.0741,0.0289,0.8970,sustained human-to-human
688452,0.0741,0.0289,0.8970,sustained human-to-human
688453,0.0741,0.0289,0.8970,sustained human-to-human
688454,0.0741,0.0289,0.8970,sustained human-to-human
688456,0.0741,0.0289,0.8970,sustained human-to-human
688457,0.0741,0.0289,0.8970,sustained human-to-human
688459,0.0741,0.0289,0.8970,sustained human-to-human
688461,0.0741,0.0289,0.8970,sustained human-to-human
688462,0.0741,0.0289,0.8970,sustained human-to-human
688463,0.0741,0.0289,0.8970,sustained human-to-human
688464,0.0741,0.0289,0.8970,sustained human-to-human
688466,0.0741,0.0289,0.8970,sustained human-to-human
694015,0.1248,0.0436,0.8316,sustained human-to-human
723802,0.3523,0.0295,0.6182,sustained human-to-human
741955,0.0741,0.0289,0.8970,sustained human-to-human
741956,0.0741,0.0289,0.8970,sustained human-to-human
741957,0.0741,0.0289,0.8970,sustained human-to-human
741958,0.0741,0.0289,0.8970,sustained human-to-human
741959,0.0741,0.0289,0.8970,sustained human-to-human
741960,0.0741,0.0289,0.8970,sustained human-to-human
764239,0.0741,0.0289,0.8970,sustained human-to-human
764243,0.0741,0.0289,0.8970,sustained human-to-human
764252,0.3071,0.0335,0.6593,sustained human-to-human
764266,0.0788,0.0298,0.8913,sustained human-to-human
764267,0.0788,0.0298,0.8913,sustained human-to-human
764268,0.0788,0.0298,0.8913,sustained human-to-human
858567,0.0741,0.0289,0.8970,sustained human-to-human
858568,0.0741,0.0289,0.8970,sustained human-to-human
858571,0.0741,0.0289,0.8970,sustained human-to-human
858573,0.0741,0.0289,0.8970,sustained human-to-human
862167,0.0767,0.0310,0.8923,sustained human-to-human
862168,0.0767,0.0310,0.8923,sustained human-to-human
862169,0.0767,0.0310,0.8923,sustained human-to-human
862170,0.0767,0.0310,0.8923,sustained human-to-human
862171,0.0767,0.0310,0.8923,sustained human-to-human
862172,0.0767,0.0310,0.8923,sustained human-to-human
862173,0.0767,0.0310,0.8923,sustained human-to-human
862174,0.0767,0.0310,0.8923,sustained human-to-human
862175,0.0767,0.0310,0.8923,sustained human-to-human
862176,0.0767,0.0310,0.8923,sustained human-to-human
862177,0.0767,0.0310,0.8923,sustained human-to-human
862178,0.0767,0.0310,0.8923,sustained human-to-human
862179,0.0767,0.0310,0.8923,sustained human-to-human
862180,0.0767,0.0310,0.8923,sustained human-to-human
862181,0.0767,0.0310,0.8923,sustained human-to-human
862182,0.0767,0.0310,0.8923,sustained human-to-human
862183,0.0767,0.0310,0.8923,sustained human-to-human
864560,0.1246,0.0317,0.8437,sustained human-to-human
864623,0.0767,0.0310,0.8923,sustained human-to-human
864624,0.0767,0.0310,0.8923,sustained human-to-human
870710,0.0741,0.0289,0.8970,sustained human-to-human
870711,0.0741,0.0289,0.8970,sustained human-to-human
870712,0.0741,0.0289,0.8970,sustained human-to-human
871260,0.1723,0.0462,0.7814,sustained human-to-human
87786,0.1185,0.0282,0.8533,sustained human-to-human
934413,0.0741,0.0289,0.8970,sustained human-to-human
937784,0.1564,0.0800,0.7635,sustained human-to-human
941285,0.0741,0.0289,0.8970,sustained human-to-human
941292,0.0741,0.0289,0.8970,sustained human-to-human
941293,0.0741,0.0289,0.8970,sustained human-to-human
941305,0.0741,0.0289,0.8970,sustained human-to-human
941317,0.0741,0.0289,0.8970,sustained human-to-human
999535,0.0741,0.0289,0.8970,sustained human-to-human
