feature,class,shap_importance
Q13042,3,0.0014620332254180783
Q8N137,3,0.0014596891100245046
O14976,2,0.001453612650031672
Q15811,4,0.0014476815578136717
Q9Y2J4,3,0.0014427380783661225
Q9BZL6,3,0.0014317265756522723
O15078,3,0.0014287186973876204
Q4V328,3,0.001426921711439008
P20042,4,0.0014212288946207307
O43765,2,0.0014207926233582905
O95373,4,0.0014170612474634567
Q92614,4,0.0014110555694715496
Q13107,4,0.0014057083771758607
Q96EV8,4,0.0014028240567413098
Q96KR1,2,0.0013985908301343318
P47897,3,0.0013857856473034798
Q05519,3,0.0013787929258952658
Q15811,2,0.0013767185431212935
P50222,3,0.0013617734209724005
P43405,2,0.0013574867599111732
Q14457,3,0.001345190777457565
Q96KR1,4,0.001338259914465135
O95373,2,0.0013275328972071005
O14976,3,0.001321858761423662
Q9BYJ9,4,0.0013195267972632618
P20042,2,0.0013146882963157658
Q13107,2,0.0013058813589840112
Q8IXI1,3,0.0013055447996459834
P43405,3,0.0012706041853183482
P12318,3,0.001268059743672897
P58340,3,0.0012619823894182746
Q15811,3,0.0012452065953940574
Q96KR1,3,0.0012438500095215176
O15042,3,0.0012407685829102597
P33991,3,0.0012374330407438643
Q8IXI1,2,0.0012291038681248574
Q13042,4,0.0012283286630986403
Q7KZI7,2,0.0012250998366622851
Q7KZI7,4,0.0011988988097693686
Q13107,3,0.0011981432885464934
O15169,3,0.0011889816468341051
Q96SB4,3,0.001180784861426711
Q15262,2,0.0011649947583504718
P49790,3,0.0011648610330892307
Q14152,3,0.0011461112075723532
P05455,3,0.0011389344989807084
P46060,3,0.0011315128417582168
Q9Y2H9,3,0.0011277361797191133
Q13418,3,0.0011251388614793786
Q15262,4,0.0011179952941713304
Q5JTH9,3,0.0011178087794284442
Q16891,3,0.001104757143673954
Q14457,2,0.0011015762585291204
P27449,3,0.0010987067485242036
Q9Y2D8,3,0.0010946624332055172
P63162,3,0.0010881426262635211
O95478,3,0.0010591829262934325
Q15428,3,0.0010497566861691076
Q8N2W9,3,0.0010436237387229344
P29317,3,0.0010387869784714468
Q15427,3,0.0010274298064516403
P20042,3,0.0010251335328554996
P17066,3,0.0010216568899617984
P84103,3,0.0009914624649725635
Q9H8Y8,3,0.0009694580916337275
Q96G21,3,0.0009516538547568069
P07384,3,0.0009411157840636094
Q96EZ8,3,0.0009262894763416902
P05787,3,0.0009137413770605698
P29692,3,0.0009107622345702888
P62266,3,0.0009073357616620446
O43172,3,0.0009027212945126893
Q96EV8,3,0.000897315671162139
Q86VR2,3,0.0008933211392262558
Q15366,3,0.000887354939464966
P63151,3,0.0008842479184670099
Q5SW79,3,0.0008723573222351067
Q9NZC7,3,0.0008183872554425261
P63220,3,0.0008161745114302656
P61353,3,0.0008115129602641221
Q13347,3,0.0008014058908610641
O95373,3,0.0007924382780651168
Q7KZI7,3,0.0007885246902986676
P61073,3,0.0007882914006396634
P62910,3,0.0007876636171252502
O60341,3,0.0007866868997175377
O43765,3,0.0007722909098255815
Q96B97,3,0.0007551782289429902
O14964,3,0.0007445035917101389
O75376,3,0.0007431523421028667
Q8IZP0,3,0.000736305683457898
O60573,3,0.0007271512096250466
Q15262,3,0.000709389680159616
Q86X55,3,0.0007083329322385886
