Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Muscle Organ Development (GO:0007517)	1/58	8.349650e-02	1.520645e-01	0	0	1.204658e+01	2.991107e+01	TAGLN
GO_Biological_Process_2023	Phospholipid Transport (GO:0015914)	1/59	8.487525e-02	1.520645e-01	0	0	1.183829e+01	2.920000e+01	SCARB2
GO_Biological_Process_2023	Regulation Of Type I Interferon Production (GO:0032479)	1/59	8.487525e-02	1.520645e-01	0	0	1.183829e+01	2.920000e+01	TANK
GO_Biological_Process_2023	Chordate Embryonic Development (GO:0043009)	1/59	8.487525e-02	1.520645e-01	0	0	1.183829e+01	2.920000e+01	PTPRR
GO_Biological_Process_2023	Aerobic Respiration (GO:0009060)	1/59	8.487525e-02	1.520645e-01	0	0	1.183829e+01	2.920000e+01	CHCHD10
GO_Biological_Process_2023	Positive Regulation Of Proteolysis (GO:0045862)	1/59	8.487525e-02	1.520645e-01	0	0	1.183829e+01	2.920000e+01	TANK
GO_Biological_Process_2023	Intracellular Protein Transport (GO:0006886)	2/325	8.504349e-02	1.520645e-01	0	0	4.344759e+00	1.070806e+01	HERC2;STX17
GO_Biological_Process_2023	Protein-Containing Complex Assembly (GO:0065003)	2/328	8.638760e-02	1.534517e-01	0	0	4.304119e+00	1.054041e+01	AIM2;CHCHD10
GO_Biological_Process_2023	Protein-Containing Complex Disassembly (GO:0032984)	1/62	8.899948e-02	1.567691e-01	0	0	1.125438e+01	2.722575e+01	STX17
GO_Biological_Process_2023	Oxidative Phosphorylation (GO:0006119)	1/63	9.037023e-02	1.567691e-01	0	0	1.107230e+01	2.661605e+01	CHCHD10
GO_Biological_Process_2023	Telomere Organization (GO:0032200)	1/63	9.037023e-02	1.567691e-01	0	0	1.107230e+01	2.661605e+01	TERF2
GO_Biological_Process_2023	Positive Regulation Of Interleukin-1 Production (GO:0032732)	1/64	9.173898e-02	1.567691e-01	0	0	1.089600e+01	2.602846e+01	AIM2
GO_Biological_Process_2023	Positive Regulation Of Cysteine-Type Endopeptidase Activity (GO:2001056)	1/64	9.173898e-02	1.567691e-01	0	0	1.089600e+01	2.602846e+01	AIM2
GO_Biological_Process_2023	Positive Regulation Of Type I Interferon Production (GO:0032481)	1/64	9.173898e-02	1.567691e-01	0	0	1.089600e+01	2.602846e+01	TANK
GO_Biological_Process_2023	Regulation Of Tyrosine Phosphorylation Of STAT Protein (GO:0042509)	1/65	9.310575e-02	1.571159e-01	0	0	1.072522e+01	2.546187e+01	TNFRSF1A
GO_Biological_Process_2023	Autophagosome Assembly (GO:0000045)	1/65	9.310575e-02	1.571159e-01	0	0	1.072522e+01	2.546187e+01	STX17
GO_Biological_Process_2023	Extrinsic Apoptotic Signaling Pathway (GO:0097191)	1/67	9.583331e-02	1.607142e-01	0	0	1.039916e+01	2.438755e+01	TNFRSF1A
GO_Biological_Process_2023	Protein Localization (GO:0008104)	2/351	9.690526e-02	1.609964e-01	0	0	4.015759e+00	9.372868e+00	HERC2;STX17
GO_Biological_Process_2023	Telomere Maintenance (GO:0000723)	1/68	9.719412e-02	1.609964e-01	0	0	1.024344e+01	2.387792e+01	TERF2
GO_Biological_Process_2023	DNA-templated DNA Replication (GO:0006261)	1/69	9.855294e-02	1.622518e-01	0	0	1.009229e+01	2.338547e+01	SSBP1
GO_Biological_Process_2023	Regulation Of Hydrolase Activity (GO:0051336)	1/71	1.012647e-01	1.657058e-01	0	0	9.802956e+00	2.244894e+01	SCARB2
GO_Biological_Process_2023	Protein Tetramerization (GO:0051262)	1/73	1.039685e-01	1.691054e-01	0	0	9.529693e+00	2.157206e+01	SSBP1
GO_Biological_Process_2023	Regulation Of Fat Cell Differentiation (GO:0045598)	1/75	1.066645e-01	1.724516e-01	0	0	9.271202e+00	2.074957e+01	PTPRR
GO_Biological_Process_2023	Regulation Of Transcription Elongation By RNA Polymerase II (GO:0034243)	1/77	1.093526e-01	1.747054e-01	0	0	9.026316e+00	1.997684e+01	INTS3
GO_Biological_Process_2023	Actomyosin Structure Organization (GO:0031032)	1/77	1.093526e-01	1.747054e-01	0	0	9.026316e+00	1.997684e+01	EPB41L1
GO_Biological_Process_2023	Vesicle Fusion (GO:0006906)	1/79	1.120329e-01	1.758656e-01	0	0	8.793988e+00	1.924971e+01	STX17
GO_Biological_Process_2023	Positive Regulation Of Protein Modification By Small Protein Conjugation Or Removal (GO:1903322)	1/79	1.120329e-01	1.758656e-01	0	0	8.793988e+00	1.924971e+01	TANK
GO_Biological_Process_2023	Negative Regulation Of Cellular Component Organization (GO:0051129)	1/79	1.120329e-01	1.758656e-01	0	0	8.793988e+00	1.924971e+01	TERF2
GO_Biological_Process_2023	Cellular Response To Interleukin-1 (GO:0071347)	1/81	1.147054e-01	1.779912e-01	0	0	8.573276e+00	1.856447e+01	TANK
GO_Biological_Process_2023	Negative Regulation Of NF-kappaB Transcription Factor Activity (GO:0032088)	1/81	1.147054e-01	1.779912e-01	0	0	8.573276e+00	1.856447e+01	AIM2
GO_Biological_Process_2023	Regulation Of Interleukin-1 Beta Production (GO:0032651)	1/84	1.186996e-01	1.831366e-01	0	0	8.262152e+00	1.760796e+01	AIM2
GO_Biological_Process_2023	Response To Interleukin-1 (GO:0070555)	1/85	1.200272e-01	1.841326e-01	0	0	8.163383e+00	1.730667e+01	TANK
GO_Biological_Process_2023	Exocytosis (GO:0006887)	1/86	1.213528e-01	1.851144e-01	0	0	8.066937e+00	1.701360e+01	STX17
GO_Biological_Process_2023	Negative Regulation Of Protein Kinase Activity (GO:0006469)	1/88	1.239981e-01	1.880871e-01	0	0	7.880698e+00	1.645087e+01	PTPRR
GO_Biological_Process_2023	rRNA Metabolic Process (GO:0016072)	1/91	1.279518e-01	1.924855e-01	0	0	7.616858e+00	1.566103e+01	EBNA1BP2
GO_Biological_Process_2023	Positive Regulation Of Neuron Projection Development (GO:0010976)	1/92	1.292659e-01	1.924855e-01	0	0	7.532778e+00	1.541119e+01	SCARB2
GO_Biological_Process_2023	Organelle Organization (GO:0006996)	2/418	1.294237e-01	1.924855e-01	0	0	3.357486e+00	6.864930e+00	STX17;CHCHD10
GO_Biological_Process_2023	Protein O-linked Glycosylation (GO:0006493)	1/93	1.305780e-01	1.924855e-01	0	0	7.450525e+00	1.516766e+01	PLOD3
GO_Biological_Process_2023	Regulation Of Endothelial Cell Proliferation (GO:0001936)	1/93	1.305780e-01	1.924855e-01	0	0	7.450525e+00	1.516766e+01	AIMP1
GO_Biological_Process_2023	Peptidyl-Lysine Modification (GO:0018205)	1/94	1.318882e-01	1.924855e-01	0	0	7.370041e+00	1.493023e+01	PLOD3
GO_Biological_Process_2023	Vesicle Organization (GO:0016050)	1/94	1.318882e-01	1.924855e-01	0	0	7.370041e+00	1.493023e+01	STX17
GO_Biological_Process_2023	Recombinational Repair (GO:0000725)	1/95	1.331965e-01	1.933498e-01	0	0	7.291269e+00	1.469869e+01	INTS3
GO_Biological_Process_2023	Regulation Of Organelle Organization (GO:0033043)	1/100	1.397096e-01	2.017197e-01	0	0	6.921282e+00	1.362239e+01	SCARB2
GO_Biological_Process_2023	rRNA Processing (GO:0006364)	1/101	1.410065e-01	2.025093e-01	0	0	6.851724e+00	1.342218e+01	EBNA1BP2
GO_Biological_Process_2023	Macroautophagy (GO:0016236)	1/104	1.448859e-01	2.066352e-01	0	0	6.651155e+00	1.284876e+01	STX17
GO_Biological_Process_2023	Lysosomal Transport (GO:0007041)	1/105	1.461753e-01	2.066352e-01	0	0	6.586870e+00	1.266621e+01	SCARB2
GO_Biological_Process_2023	Negative Regulation Of MAPK Cascade (GO:0043409)	1/105	1.461753e-01	2.066352e-01	0	0	6.586870e+00	1.266621e+01	PTPRR
GO_Biological_Process_2023	Positive Regulation Of DNA Metabolic Process (GO:0051054)	1/108	1.500321e-01	2.098895e-01	0	0	6.401225e+00	1.214252e+01	TERF2
GO_Biological_Process_2023	Response To Tumor Necrosis Factor (GO:0034612)	1/108	1.500321e-01	2.098895e-01	0	0	6.401225e+00	1.214252e+01	TANK
GO_Biological_Process_2023	Negative Regulation Of Inflammatory Response (GO:0050728)	1/111	1.538721e-01	2.130537e-01	0	0	6.225705e+00	1.165224e+01	TNFRSF1A
GO_Biological_Process_2023	Double-Strand Break Repair Via Homologous Recombination (GO:0000724)	1/111	1.538721e-01	2.130537e-01	0	0	6.225705e+00	1.165224e+01	INTS3
GO_Biological_Process_2023	Negative Regulation Of Defense Response (GO:0031348)	1/112	1.551484e-01	2.137249e-01	0	0	6.169307e+00	1.149572e+01	TNFRSF1A
GO_Biological_Process_2023	Endoplasmic Reticulum To Golgi Vesicle-Mediated Transport (GO:0006888)	1/115	1.589661e-01	2.178723e-01	0	0	6.006050e+00	1.104551e+01	STX17
GO_Biological_Process_2023	Positive Regulation Of Cell Projection Organization (GO:0031346)	1/118	1.627671e-01	2.208397e-01	0	0	5.851164e+00	1.062241e+01	SCARB2
GO_Biological_Process_2023	Ribonucleoprotein Complex Biogenesis (GO:0022613)	1/118	1.627671e-01	2.208397e-01	0	0	5.851164e+00	1.062241e+01	EBNA1BP2
GO_Biological_Process_2023	Protein Localization To Nucleus (GO:0034504)	1/122	1.678092e-01	2.254154e-01	0	0	5.656597e+00	1.009662e+01	CHCHD10
GO_Biological_Process_2023	Receptor-Mediated Endocytosis (GO:0006898)	1/122	1.678092e-01	2.254154e-01	0	0	5.656597e+00	1.009662e+01	SCARB2
GO_Biological_Process_2023	Protein Dephosphorylation (GO:0006470)	1/124	1.703193e-01	2.265330e-01	0	0	5.564059e+00	9.848833e+00	PTPRR
GO_Biological_Process_2023	Regulation Of DNA Metabolic Process (GO:0051052)	1/124	1.703193e-01	2.265330e-01	0	0	5.564059e+00	9.848833e+00	TERF2
GO_Biological_Process_2023	Regulation Of Mitotic Cell Cycle (GO:0007346)	1/125	1.715716e-01	2.270800e-01	0	0	5.518910e+00	9.728485e+00	CCDC8
GO_Biological_Process_2023	Protein-Containing Complex Organization (GO:0043933)	1/126	1.728220e-01	2.276193e-01	0	0	5.474483e+00	9.610416e+00	CHCHD10
