vtaxid,Genome Type,Virulence,Transmissibility,Tissue Tropism,Transmission Route,virulence
38016,ssRNA(-),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
384335,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
390157,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
405554,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
430511,ssRNA(-),high level,sustained human-to-human,gastrointestinal,faecal-oral,low level
430911,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
433731,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
433732,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
46920,ssRNA(-),high level,no human-to-human,viraemic,direct contact,low level
47681,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
481494,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
481495,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
481497,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
481503,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
481504,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
481510,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
481513,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
496406,ssRNA(-),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
496407,ssRNA(-),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
496408,ssRNA(-),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
496409,ssRNA(-),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
497343,ssRNA(-),high level,no human-to-human,viraemic,direct contact,low level
497344,ssRNA(-),high level,no human-to-human,viraemic,direct contact,low level
497915,ssRNA(-),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
537513,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
537514,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
537516,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
537517,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
537524,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
537526,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
537528,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
537530,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
537531,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
537534,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
537535,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
537539,ssRNA(+),low level,no human-to-human,gastrointestinal,faecal-oral,low level
537543,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
537547,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
537550,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
537551,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
537552,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
537553,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
537555,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
537557,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
537558,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
537559,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
537560,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
537561,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
537563,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
537565,ssRNA(+),low level,no human-to-human,gastrointestinal,faecal-oral,low level
537566,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
537570,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
537573,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
537574,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
537577,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
537578,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
537584,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
537587,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
537588,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
537589,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
537591,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
546676,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
546677,ssRNA(+),high level,sustained human-to-human,gastrointestinal,faecal-oral,low level
546678,ssRNA(+),high level,sustained human-to-human,gastrointestinal,faecal-oral,low level
546679,ssRNA(+),high level,sustained human-to-human,gastrointestinal,faecal-oral,low level
546680,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
