vtaxid,prob_gastrointestinal,prob_neural,prob_other,prob_respiratory,prob_systemic,prob_viraemic,pred_label
295016,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
2994337,0.8003,0.0481,0.0756,0.0163,0.0087,0.0510,gastrointestinal
3047346,0.8584,0.0296,0.0588,0.0089,0.0044,0.0399,gastrointestinal
3047369,0.8522,0.0291,0.0650,0.0089,0.0043,0.0406,gastrointestinal
3047370,0.8522,0.0307,0.0639,0.0090,0.0044,0.0397,gastrointestinal
3047809,0.8584,0.0296,0.0588,0.0089,0.0044,0.0399,gastrointestinal
3047952,0.8495,0.0295,0.0682,0.0085,0.0042,0.0401,gastrointestinal
3048166,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
3048206,0.8533,0.0310,0.0592,0.0095,0.0046,0.0423,gastrointestinal
3048297,0.8522,0.0291,0.0650,0.0089,0.0043,0.0406,gastrointestinal
3048318,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
3048439,0.8484,0.0335,0.0595,0.0106,0.0050,0.0430,gastrointestinal
3050329,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
3052316,0.8216,0.0323,0.1003,0.0090,0.0046,0.0322,gastrointestinal
3052329,0.8449,0.0269,0.0850,0.0096,0.0040,0.0297,gastrointestinal
3052343,0.8366,0.0297,0.0827,0.0087,0.0042,0.0382,gastrointestinal
3052370,0.8508,0.0288,0.0749,0.0086,0.0040,0.0329,gastrointestinal
3052380,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
3052393,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
3052394,0.8522,0.0291,0.0650,0.0089,0.0043,0.0406,gastrointestinal
3052400,0.8461,0.0313,0.0748,0.0090,0.0042,0.0345,gastrointestinal
3052404,0.6811,0.0707,0.1324,0.0286,0.0180,0.0692,gastrointestinal
3052421,0.8585,0.0298,0.0656,0.0089,0.0041,0.0331,gastrointestinal
3052424,0.8445,0.0283,0.0758,0.0088,0.0042,0.0383,gastrointestinal
3052441,0.8483,0.0284,0.0704,0.0089,0.0042,0.0399,gastrointestinal
3052445,0.6599,0.0414,0.1998,0.0133,0.0070,0.0786,gastrointestinal
3052457,0.6766,0.0693,0.1574,0.0384,0.0131,0.0452,gastrointestinal
3052467,0.8563,0.0303,0.0594,0.0098,0.0046,0.0397,gastrointestinal
3052492,0.8556,0.0268,0.0746,0.0082,0.0036,0.0311,gastrointestinal
3052509,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
3052521,0.8349,0.0321,0.0755,0.0095,0.0045,0.0435,gastrointestinal
3052538,0.8432,0.0306,0.0733,0.0087,0.0043,0.0398,gastrointestinal
3052616,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
3052618,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
3052620,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
3052621,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
3052625,0.3243,0.1229,0.1697,0.0412,0.0346,0.3073,gastrointestinal
3052626,0.8567,0.0277,0.0656,0.0088,0.0041,0.0370,gastrointestinal
3052637,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
3052661,0.6403,0.1101,0.1576,0.0360,0.0127,0.0434,gastrointestinal
3052809,0.8430,0.0307,0.0752,0.0088,0.0043,0.0380,gastrointestinal
3052826,0.2552,0.2224,0.1714,0.0587,0.0691,0.2232,gastrointestinal
3060496,0.8609,0.0260,0.0634,0.0088,0.0041,0.0368,gastrointestinal
3060507,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
308159,0.1762,0.1173,0.1039,0.1087,0.1308,0.3629,viraemic
3158245,0.8238,0.0330,0.0831,0.0102,0.0049,0.0449,gastrointestinal
336959,0.8522,0.0291,0.0650,0.0089,0.0043,0.0406,gastrointestinal
340187,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
341730,0.8579,0.0264,0.0650,0.0084,0.0041,0.0381,gastrointestinal
348136,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
354090,0.2260,0.1569,0.0673,0.0739,0.1349,0.3410,systemic
363747,0.8328,0.0307,0.0881,0.0089,0.0041,0.0354,gastrointestinal
37741,0.0609,0.1471,0.0802,0.1061,0.1236,0.4822,viraemic
38016,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
384335,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
390157,0.8488,0.0285,0.0702,0.0085,0.0041,0.0399,gastrointestinal
394239,0.8135,0.0282,0.1098,0.0081,0.0043,0.0361,gastrointestinal
405554,0.8354,0.0293,0.0856,0.0084,0.0041,0.0373,gastrointestinal
430511,0.2755,0.1759,0.1402,0.1023,0.0904,0.2158,gastrointestinal
430911,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
433731,0.8734,0.0269,0.0531,0.0089,0.0039,0.0336,gastrointestinal
433732,0.8622,0.0279,0.0596,0.0091,0.0040,0.0370,gastrointestinal
46920,0.0555,0.1311,0.1299,0.1233,0.1203,0.4399,viraemic
47681,0.8348,0.0317,0.0708,0.0113,0.0056,0.0458,gastrointestinal
481494,0.8343,0.0286,0.0866,0.0086,0.0041,0.0378,gastrointestinal
481495,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
481497,0.8490,0.0291,0.0698,0.0089,0.0042,0.0390,gastrointestinal
481503,0.8196,0.0302,0.0986,0.0096,0.0042,0.0378,gastrointestinal
481504,0.8431,0.0288,0.0755,0.0090,0.0043,0.0394,gastrointestinal
481510,0.8399,0.0299,0.0787,0.0090,0.0042,0.0383,gastrointestinal
481513,0.8492,0.0299,0.0685,0.0089,0.0042,0.0393,gastrointestinal
496406,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
496407,0.8338,0.0323,0.0802,0.0092,0.0046,0.0400,gastrointestinal
496408,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
496409,0.8338,0.0323,0.0802,0.0092,0.0046,0.0400,gastrointestinal
497343,0.0566,0.0954,0.2237,0.0838,0.0605,0.4801,viraemic
497344,0.0703,0.1138,0.2001,0.0724,0.0526,0.4908,viraemic
497915,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
537513,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
537514,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
537516,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
537517,0.8460,0.0294,0.0729,0.0089,0.0041,0.0387,gastrointestinal
537524,0.8410,0.0302,0.0762,0.0085,0.0042,0.0399,gastrointestinal
537526,0.8410,0.0302,0.0762,0.0085,0.0042,0.0399,gastrointestinal
537528,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
537530,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
537531,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
537534,0.8410,0.0302,0.0762,0.0085,0.0042,0.0399,gastrointestinal
537535,0.8410,0.0302,0.0762,0.0085,0.0042,0.0399,gastrointestinal
537539,0.7813,0.0273,0.1422,0.0092,0.0039,0.0361,gastrointestinal
537543,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
537547,0.8410,0.0302,0.0762,0.0085,0.0042,0.0399,gastrointestinal
537550,0.8410,0.0302,0.0762,0.0085,0.0042,0.0399,gastrointestinal
537551,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
537552,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
537553,0.8389,0.0306,0.0795,0.0087,0.0042,0.0380,gastrointestinal
537555,0.7745,0.0340,0.1428,0.0094,0.0041,0.0353,gastrointestinal
537557,0.8401,0.0297,0.0789,0.0085,0.0041,0.0388,gastrointestinal
537558,0.8410,0.0302,0.0762,0.0085,0.0042,0.0399,gastrointestinal
537559,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
537560,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
537561,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
537563,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
537565,0.7813,0.0273,0.1422,0.0092,0.0039,0.0361,gastrointestinal
537566,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
537570,0.8299,0.0245,0.0990,0.0081,0.0037,0.0348,gastrointestinal
537573,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
537574,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
537577,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
537578,0.7716,0.0338,0.1450,0.0098,0.0043,0.0355,gastrointestinal
537584,0.8389,0.0306,0.0795,0.0087,0.0042,0.0380,gastrointestinal
537587,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
537588,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
537589,0.8406,0.0292,0.0811,0.0089,0.0042,0.0360,gastrointestinal
537591,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
546676,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
546677,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
546678,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
546679,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
546680,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
546681,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
546682,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
546683,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
546685,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
546687,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
546688,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
546689,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
546691,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
546692,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
546693,0.8602,0.0298,0.0629,0.0091,0.0041,0.0338,gastrointestinal
546694,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
