feature,shap_importance,gene
P42677,0.0004591202621744,6232
O75390,0.0004569265365016,1431
Q63ZY3,0.000454189095646,25959
P48047,0.0004458892719899,539
P25054,0.0004430896249979,324
P11362,0.0004311857107398,2260
O15350,0.0004272402080916,7161
O43809,0.0004196206863958,11051
P28066,0.0004129110705622,5686
Q13526,0.0004124418447982,5300
P05783,0.0004102029710042,3875
Q15836,0.0004093892866107,9341
Q00325,0.0004028008813989,5250
Q86VP6,0.0003912387563055,55832
P51665,0.0003785175482474,5713
P02545,0.0003783436146332,4000
P37198,0.0003686944935693,23636
Q15149,0.0003574011207901,5339
Q9UHX1,0.000355497977406,22827
P83731,0.0003513463987682,6152
Q15311,0.0003498142809132,10928
O15371,0.000339910869806,8664
P51965,0.0003326800763949,7324
P31040,0.0003318138164255,6389
P02768,0.0003267887110981,213
Q9C0B0,0.0003225438607996,85451
P07195,0.0003187961316323,3945
Q13363,0.0003117994255699,1487
P53675,0.0003105038431434,8218
Q15323,0.0003055210657507,3881
P15924,0.0003054987931126,1832
O43765,0.00028898414724,6449
P78352,0.0002798365628513,1742
Q13620,0.0002555189432428,8450
Q07955,0.0002504869676014,6426
Q16543,0.000240798545479,11140
P26447,0.0002313837894025,6275
Q05513,0.0002076187355707,5590
O00231,0.0002049909365662,5717
O00267,0.0001939091930806,6829
O00232,0.0001875139368901,5718
P45983,0.0001590032925789,5599
