	Mollentze's study	Brierley's study	ViralZone	HVD	Virus-Host DB	VIRION
694448	0.0	0.0	0.0	1.0	0.0	0.0
741955	0.0	0.0	0.0	1.0	0.0	0.0
741956	0.0	0.0	0.0	1.0	0.0	0.0
741957	0.0	0.0	0.0	1.0	0.0	0.0
741958	0.0	0.0	0.0	1.0	0.0	0.0
741959	0.0	0.0	0.0	1.0	0.0	0.0
741960	0.0	0.0	0.0	1.0	0.0	0.0
742919	0.0	0.0	0.0	0.0	1.0	0.0
742926	0.0	0.0	0.0	1.0	0.0	0.0
742927	0.0	0.0	0.0	1.0	0.0	0.0
742928	0.0	0.0	0.0	1.0	0.0	0.0
742929	0.0	0.0	0.0	1.0	0.0	0.0
742930	0.0	0.0	0.0	1.0	0.0	0.0
742931	0.0	0.0	0.0	1.0	0.0	0.0
742932	0.0	0.0	0.0	1.0	0.0	0.0
742933	0.0	0.0	0.0	1.0	0.0	0.0
742934	0.0	0.0	0.0	1.0	0.0	0.0
742935	0.0	0.0	0.0	1.0	0.0	0.0
742936	0.0	0.0	0.0	1.0	0.0	0.0
742937	0.0	0.0	0.0	1.0	0.0	0.0
742938	0.0	0.0	0.0	1.0	0.0	0.0
742944	0.0	0.0	0.0	1.0	0.0	0.0
742945	0.0	0.0	0.0	1.0	0.0	0.0
742946	0.0	0.0	0.0	1.0	0.0	0.0
742948	0.0	0.0	0.0	1.0	0.0	0.0
742949	0.0	0.0	0.0	1.0	0.0	0.0
742950	0.0	0.0	0.0	1.0	0.0	0.0
742952	0.0	0.0	0.0	1.0	0.0	0.0
742954	0.0	0.0	0.0	1.0	0.0	0.0
742955	0.0	0.0	0.0	1.0	0.0	0.0
742956	0.0	0.0	0.0	1.0	0.0	0.0
742957	0.0	0.0	0.0	1.0	0.0	0.0
742958	0.0	0.0	0.0	1.0	0.0	0.0
742959	0.0	0.0	0.0	1.0	0.0	0.0
743528	0.0	0.0	0.0	1.0	0.0	0.0
743529	0.0	0.0	0.0	1.0	0.0	0.0
745091	0.0	0.0	0.0	1.0	0.0	0.0
745094	0.0	0.0	0.0	1.0	0.0	0.0
745095	0.0	0.0	0.0	1.0	0.0	0.0
746543	1.0	0.0	0.0	0.0	0.0	0.0
749224	0.0	0.0	0.0	1.0	0.0	0.0
764239	0.0	0.0	0.0	1.0	0.0	0.0
764243	0.0	0.0	0.0	1.0	0.0	0.0
764252	0.0	0.0	0.0	1.0	0.0	0.0
764266	0.0	0.0	0.0	1.0	0.0	0.0
764267	0.0	0.0	0.0	1.0	0.0	0.0
764268	0.0	0.0	0.0	1.0	0.0	0.0
858567	0.0	0.0	0.0	1.0	0.0	0.0
858568	0.0	0.0	0.0	1.0	0.0	0.0
858571	0.0	0.0	0.0	1.0	0.0	0.0
858573	0.0	0.0	0.0	1.0	0.0	0.0
862148	0.0	0.0	0.0	0.0	0.0	1.0
