interact_type	virus_unid	human_unid	VirusName	FamilyName
physical association	B8ZX49	O15260	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX42	Q15369	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	Q9UDY4	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	Q96IX5	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	P53801	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	P50402	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX42	O00716	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	Q9UL15	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX42	P28288	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	Q9UBF2	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	O15173	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	O75688	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	P13489	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX42	Q9NQC3	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	Q9BQB6	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	Q9NP72	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX42	P67870	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	P35813	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX42	Q96CW1	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	O60831	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX42	Q8N5Q1	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX42	Q96HS1	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX42	O00505	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	P31689	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX42	O95782	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	Q13443	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	P46778	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX42	P78356	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	Q70UQ0	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	O95967	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	Q99615	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	P11717	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	P16070	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	P09543	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	P29966	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX42	P52292	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	Q71UM5	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX42	Q9H0U9	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX42	Q9H270	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX42	P27816	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	Q9Y6C9	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	Q9Y6N5	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX42	O00635	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	Q96JJ7	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	P08240	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	O60220	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX42	O95292	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX42	Q96JC1	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX42	Q16527	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX42	O95810	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	Q9HC07	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX42	Q14186	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	P07237	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	P16615	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX42	Q70UQ0	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX42	P34932	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX42	P37108	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX42	Q16254	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	Q04721	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX42	Q9UL15	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	O15355	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	Q96N66	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX42	Q99615	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX42	Q96IX5	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	P35998	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX42	P06400	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX42	O95816	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX42	P50402	Human polyomavirus 5	Polyomaviridae
direct interaction	P06931	P49023	Deltapapillomavirus 4	Papillomaviridae
direct interaction	P03122	P21675	Deltapapillomavirus 4	Papillomaviridae
direct interaction	P03122	P49848	Deltapapillomavirus 4	Papillomaviridae
direct interaction	P03122	P55209	Deltapapillomavirus 4	Papillomaviridae
direct interaction	P03122	Q13227	Deltapapillomavirus 4	Papillomaviridae
direct interaction	P03122	O60885	Deltapapillomavirus 4	Papillomaviridae
direct interaction	P03116	P27694	Deltapapillomavirus 4	Papillomaviridae
physical association	P03116	P63165	Deltapapillomavirus 4	Papillomaviridae
direct interaction	P03116	P63279	Deltapapillomavirus 4	Papillomaviridae
physical association	P06933	Q05086	Deltapapillomavirus 4	Papillomaviridae
physical association	P03116	O75925	Deltapapillomavirus 4	Papillomaviridae
physical association	P03116	O75928	Deltapapillomavirus 4	Papillomaviridae
physical association	P11298	O60885	Deltapapillomavirus 4	Papillomaviridae
physical association	P03122	P41229	Deltapapillomavirus 4	Papillomaviridae
direct interaction	P06931	P23142	Deltapapillomavirus 4	Papillomaviridae
direct interaction	P03122	Q16637	Deltapapillomavirus 4	Papillomaviridae
physical association	P06428	P84022	Betapapillomavirus 1	Papillomaviridae
physical association	P06428	P40429	Betapapillomavirus 1	Papillomaviridae
physical association	P06428	Q12834	Betapapillomavirus 1	Papillomaviridae
physical association	P06428	Q08117	Betapapillomavirus 1	Papillomaviridae
physical association	P06428	Q15648	Betapapillomavirus 1	Papillomaviridae
physical association	P06428	P32242	Betapapillomavirus 1	Papillomaviridae
physical association	P06428	P13807	Betapapillomavirus 1	Papillomaviridae
physical association	P06428	P31947	Betapapillomavirus 1	Papillomaviridae
physical association	P06428	P55040	Betapapillomavirus 1	Papillomaviridae
physical association	P06428	Q9UHA4	Betapapillomavirus 1	Papillomaviridae
physical association	P06428	Q15562	Betapapillomavirus 1	Papillomaviridae
physical association	P06428	Q01664	Betapapillomavirus 1	Papillomaviridae
physical association	P06428	P40937	Betapapillomavirus 1	Papillomaviridae
physical association	P06428	P47897	Betapapillomavirus 1	Papillomaviridae
physical association	P06428	P54646	Betapapillomavirus 1	Papillomaviridae
physical association	P06428	P49643	Betapapillomavirus 1	Papillomaviridae
physical association	P06428	Q8N6N6	Betapapillomavirus 1	Papillomaviridae
physical association	P06428	Q6NYC8	Betapapillomavirus 1	Papillomaviridae
physical association	P06428	P57059	Betapapillomavirus 1	Papillomaviridae
physical association	P06428	Q8IYI6	Betapapillomavirus 1	Papillomaviridae
physical association	P06428	Q8IVS8	Betapapillomavirus 1	Papillomaviridae
physical association	P06428	Q8NEC5	Betapapillomavirus 1	Papillomaviridae
physical association	P06428	Q96EL3	Betapapillomavirus 1	Papillomaviridae
physical association	P06428	Q8TAE8	Betapapillomavirus 1	Papillomaviridae
