vtaxid,prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,pred_label
3052626,0.0975,0.8672,0.0155,0.0198,faecal-oral
3052637,0.0975,0.8672,0.0155,0.0198,faecal-oral
3052661,0.1372,0.7430,0.0728,0.0470,faecal-oral
3052809,0.0975,0.8672,0.0155,0.0198,faecal-oral
3052826,0.0748,0.2358,0.1544,0.5350,vector
3060496,0.0995,0.8702,0.0153,0.0150,faecal-oral
3060507,0.0975,0.8672,0.0155,0.0198,faecal-oral
308159,0.1613,0.3945,0.1090,0.3351,faecal-oral
3158245,0.1279,0.8318,0.0171,0.0233,faecal-oral
336959,0.0975,0.8672,0.0155,0.0198,faecal-oral
340187,0.0975,0.8672,0.0155,0.0198,faecal-oral
341730,0.0975,0.8672,0.0155,0.0198,faecal-oral
348136,0.0975,0.8672,0.0155,0.0198,faecal-oral
354090,0.0556,0.2403,0.2025,0.5016,vector
363747,0.0975,0.8672,0.0155,0.0198,faecal-oral
37741,0.3737,0.1385,0.3919,0.0959,direct contact
38016,0.0975,0.8672,0.0155,0.0198,faecal-oral
384335,0.0975,0.8672,0.0155,0.0198,faecal-oral
390157,0.0975,0.8672,0.0155,0.0198,faecal-oral
394239,0.1203,0.8426,0.0161,0.0210,faecal-oral
405554,0.0975,0.8672,0.0155,0.0198,faecal-oral
430511,0.2352,0.5117,0.1621,0.0910,faecal-oral
430911,0.0975,0.8672,0.0155,0.0198,faecal-oral
433731,0.0521,0.9168,0.0135,0.0175,faecal-oral
433732,0.0712,0.8950,0.0151,0.0187,faecal-oral
46920,0.5798,0.1134,0.2705,0.0363,direct contact
47681,0.0956,0.8657,0.0204,0.0184,faecal-oral
481494,0.0975,0.8672,0.0155,0.0198,faecal-oral
481495,0.0975,0.8672,0.0155,0.0198,faecal-oral
481497,0.0975,0.8672,0.0155,0.0198,faecal-oral
481503,0.0975,0.8672,0.0155,0.0198,faecal-oral
481504,0.1335,0.8317,0.0160,0.0187,faecal-oral
481510,0.0975,0.8672,0.0155,0.0198,faecal-oral
481513,0.0975,0.8672,0.0155,0.0198,faecal-oral
496406,0.0975,0.8672,0.0155,0.0198,faecal-oral
496407,0.1279,0.8318,0.0171,0.0233,faecal-oral
496408,0.0975,0.8672,0.0155,0.0198,faecal-oral
496409,0.1279,0.8318,0.0171,0.0233,faecal-oral
497343,0.5804,0.1778,0.1791,0.0627,direct contact
497344,0.5475,0.1460,0.2674,0.0392,direct contact
497915,0.0975,0.8672,0.0155,0.0198,faecal-oral
537513,0.0975,0.8672,0.0155,0.0198,faecal-oral
537514,0.0975,0.8672,0.0155,0.0198,faecal-oral
537516,0.0975,0.8672,0.0155,0.0198,faecal-oral
537517,0.0725,0.8934,0.0152,0.0189,faecal-oral
537524,0.0975,0.8672,0.0155,0.0198,faecal-oral
537526,0.0975,0.8672,0.0155,0.0198,faecal-oral
537528,0.0975,0.8672,0.0155,0.0198,faecal-oral
537530,0.0975,0.8672,0.0155,0.0198,faecal-oral
537531,0.0975,0.8672,0.0155,0.0198,faecal-oral
