feature,class,shap_importance
Q9BT17,vector,0.0037260067163208113
P14314,vector,0.0037232131079699606
O60504,vector,0.0037181822160965924
O95478,respiratory,0.00371773408154748
P35680,vector,0.0037152573335508432
Q01664,faecal-oral,0.003712527883590934
Q92574,faecal-oral,0.0037079204053164835
O15078,faecal-oral,0.0037045251987412146
Q99598,vector,0.003702453386407891
Q15907,vector,0.0037004101722056945
Q00987,direct contact,0.0036938838224454883
Q92633,direct contact,0.003689100023709148
P62834,vector,0.0036861122244967394
Q16512,direct contact,0.003673859042920626
Q01664,vector,0.003668074762811554
Q9BZL6,vector,0.003665718473051931
Q14457,vector,0.003663922517448785
Q9UM47,vector,0.0036604376635283376
O60232,faecal-oral,0.0036588973900844256
Q02539,vector,0.003657634774815525
P49790,respiratory,0.003656818762595622
Q9GZM8,direct contact,0.003656089013621604
Q9GZM8,vector,0.0036547077019784976
O15042,vector,0.0036500138166859247
Q15375,vector,0.0036406258799842107
Q92633,vector,0.003640019772469754
Q8IVT5,faecal-oral,0.0036390632965568105
P47897,vector,0.0036363859693967567
P09012,faecal-oral,0.0036319690729663084
O43889,respiratory,0.0036292987608354888
Q06323,respiratory,0.003619096241258048
P10912,direct contact,0.0036190160639975747
Q8NI36,faecal-oral,0.003617274470079139
Q9Y2J4,vector,0.003609156525201327
P55854,faecal-oral,0.003609083987969805
Q96E39,respiratory,0.0036038736519208624
O14617,direct contact,0.0036015085064079284
Q15020,direct contact,0.0035989732432803773
P60983,direct contact,0.0035922545760316295
P00441,vector,0.003592144338048264
P29317,vector,0.0035635038091760022
Q9Y6C9,faecal-oral,0.0035287014308303484
Q96LK0,vector,0.0035244305321631745
Q8NI60,vector,0.0035189117735943062
Q02878,vector,0.0035185496455783826
P51674,respiratory,0.0035160910965664513
Q9Y2J2,vector,0.0035156224220778153
Q8WUM4,faecal-oral,0.0035137837167564866
Q9BZL6,respiratory,0.003512768800238807
P51674,vector,0.003507211828190285
Q01094,direct contact,0.0035062054863900832
Q01167,direct contact,0.0035036076682524206
O15514,respiratory,0.0034892935267441397
Q9UHI6,respiratory,0.0034843532177853305
Q9NRR5,faecal-oral,0.00348072900907341
P42704,direct contact,0.003474057051003272
Q96RP9,direct contact,0.003473236898228111
Q9Y2H9,faecal-oral,0.003472533469188519
P15498,direct contact,0.0034687876215163944
O95967,direct contact,0.003463907561336536
Q14204,vector,0.0034614395416754638
Q9UEU0,vector,0.003451353788457487
Q9Y6C9,respiratory,0.003450270025631416
P13647,direct contact,0.0034472557902791006
Q9UNN5,direct contact,0.0034459624489084173
Q00987,vector,0.003442959686423527
P01889,respiratory,0.0034370812973193105
Q15907,direct contact,0.0034283113327373206
Q13418,direct contact,0.003426137241412361
O15357,direct contact,0.00342414723615164
O15514,direct contact,0.0034219637909596074
P35269,respiratory,0.0034199708526194412
P61073,direct contact,0.00341931031324958
P42336,direct contact,0.0034150013420083327
P60228,faecal-oral,0.0034023392758037955
P56962,respiratory,0.0034012702524074405
